time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.1400000000000006,-0.12503571150518245,-0.07827076969720596,11.342152334712802,6.2212992787181705,0.0828953334835072,0.0,-0.4292747363147059,-0.29133651699880037,2.672104284200915,-0.11903661221272092,0.12944076795415252,0.0,468.62053382576926,468.3226033078564,469.41625214256146,467.93942231473227
1.2000000000000006,-0.15278366197197893,-0.0972385019911334,11.508311771328561,6.214028510832449,0.09054000221045122,0.0,-0.4965122561488813,-0.34172019436000306,2.8659180973024267,-0.12584723705951165,0.12301193514736604,0.0,474.1780914904731,473.69766503814503,473.94131208439205,473.40526281513655
1.2600000000000007,-0.18457928046285024,-0.11927360496838442,11.684274731421116,6.206606059911396,0.09846268111037482,0.0,-0.5641344869901491,-0.3935520882097271,2.9990047902536445,-0.11974272371327169,0.14577561570946587,0.0,455.2001260596278,457.0333068585364,457.2394014279395,457.7120449551776
1.3200000000000007,-0.22063864733383176,-0.1445988250178981,11.868480127170352,6.1998220302943565,0.10673709991381308,0.0,-0.6387377357001733,-0.45133545376606593,3.1405981743366804,-0.10227069354608384,0.11352722780591208,0.0,461.7843936393661,459.2497418495488,459.78787142972016,461.15895821716214
1.3800000000000008,-0.26148515192197164,-0.17364054925484051,12.062398524974538,6.19356563331854,0.11398277640706134,0.0,-0.7235639007416206,-0.5173753200174551,3.3226329458446333,-0.10860980874892807,0.13228508139636252,0.0,473.237727766971,474.69136545235193,474.0089134855488,473.51273460118426
1.4400000000000008,-0.30758623460985135,-0.20678306495032067,12.267133104063877,6.186916622506093,0.12200986808703718,0.0,-0.813985214221688,-0.588060775063951,3.501080110468697,-0.11563842144947298,0.13662434256815953,0.0,474.1166855478663,474.46520496620127,474.5574857453302,474.00759204601104
1.5000000000000009,-0.3590545318465801,-0.24412703800113023,12.480567085243823,6.180075415335976,0.13010425939474324,0.0,-0.9024277124434171,-0.6574040964576056,3.6127868415904056,-0.11096815153453858,0.13123260616168253,0.0,456.11577420421065,455.7012322039381,455.14584588304416,455.5082326632748
1.560000000000001,-0.4158250894812696,-0.285634350020918,12.699346929999322,6.173694098746733,0.13816929349035068,0.0,-0.9906714128782601,-0.7267668689994573,3.679409262605075,-0.09844385540521065,0.14012150954159194,0.0,442.2297981802551,442.97809904921905,442.2553227020016,443.2757087326606
1.620000000000001,-0.47861921927236956,-0.33186848271001096,12.926085650266856,6.168030890817487,0.14693869217973887,0.0,-1.1033759001234074,-0.8149480041430893,3.8775635005149884,-0.08731104923097302,0.156089379806747,0.0,482.5830797367527,483.80486184627,484.3335626589044,485.16337247240597
1.680000000000001,-0.5476505744980615,-0.38294995955272815,13.159766666538312,6.163373584100878,0.15614049989981105,0.0,-1.1985085267370634,-0.888185786991878,3.9113980272935915,-0.0631270391792687,0.1472711016998276,0.0,435.3504111543524,434.6345872434582,434.377179670479,436.395496053262
